timestamp,shopper_id,action,row,col,details
10:01,1,ENTERED,h,8,gender~female age~adult
10:01,1,MOVING,g,8,
10:02,1,MOVING,g,9,
10:03,1,ARRIVED_SECTION,g,10,Tops
10:04,1,BROWSING,g,10,Tops
10:05,1,BROWSING,g,10,Tops
10:06,1,BROWSING,g,10,Tops
10:07,1,BROWSING,g,10,Tops
10:08,1,BROWSING,g,10,Tops
10:09,1,BROWSING,g,10,Tops
10:11,1,MOVING,g,9,
10:12,2,ENTERED,h,8,gender~female age~senior
10:12,1,PAUSED,g,9,
10:12,2,MOVING,h,9,
10:13,1,PAUSED,g,9,
10:13,2,MOVING,h,10,
10:14,1,MOVING,g,8,
10:14,2,MOVING,h,11,
10:15,1,MOVING,g,7,
10:15,2,MOVING,h,12,
10:16,1,MOVING,g,6,
10:16,2,ARRIVED_SECTION,h,13,Skirts & Dresses
10:17,1,MOVING,g,5,
10:17,2,BROWSING,h,13,Skirts & Dresses
10:18,1,MOVING,g,4,
10:18,2,BROWSING,h,13,Skirts & Dresses
10:19,1,ARRIVED_SECTION,g,3,Jeans
10:19,2,BROWSING,h,13,Skirts & Dresses
10:20,1,BROWSING,g,3,Jeans
10:20,2,BROWSING,h,13,Skirts & Dresses
10:21,1,BROWSING,g,3,Jeans
10:21,2,BROWSING,h,13,Skirts & Dresses
10:22,1,BROWSING,g,3,Jeans
10:22,2,BROWSING,h,13,Skirts & Dresses
10:23,1,BROWSING,g,3,Jeans
10:23,2,BROWSING,h,13,Skirts & Dresses
10:24,3,ENTERED,h,8,gender~male age~adult
10:24,1,BROWSING,g,3,Jeans
10:24,2,BROWSING,h,13,Skirts & Dresses
10:24,3,MOVING,g,8,
10:25,1,BROWSING,g,3,Jeans
10:25,2,BROWSING,h,13,Skirts & Dresses
10:25,3,MOVING,f,8,
10:26,1,BROWSING,g,3,Jeans
10:26,2,BROWSING,h,13,Skirts & Dresses
10:26,3,MOVING,e,8,
10:27,1,BROWSING,g,3,Jeans
10:27,2,BROWSING,h,13,Skirts & Dresses
10:27,3,MOVING,d,8,
10:28,1,BROWSING,g,3,Jeans
10:28,2,BROWSING,h,13,Skirts & Dresses
10:28,3,MOVING,d,7,
10:29,1,BROWSING,g,3,Jeans
10:29,3,MOVING,d,6,
10:30,1,BROWSING,g,3,Jeans
10:30,2,MOVING,h,12,
10:30,3,MOVING,c,6,
10:31,4,ENTERED,h,8,gender~female age~adult
10:31,1,BROWSING,g,3,Jeans
10:31,2,MOVING,h,11,
10:31,3,MOVING,b,6,
10:31,4,MOVING,f,7,
10:32,1,BROWSING,g,3,Jeans
10:32,2,MOVING,h,10,
10:32,3,PAUSED,b,6,
10:32,4,ARRIVED_SECTION,f,6,Pants
10:33,1,BROWSING,g,3,Jeans
10:33,2,MOVING,g,10,
10:33,3,PAUSED,b,6,
10:33,4,BROWSING,f,6,Pants
10:34,1,BROWSING,g,3,Jeans
10:34,2,MOVING,g,9,
10:34,3,PAUSED,b,6,
10:34,4,BROWSING,f,6,Pants
10:35,1,BROWSING,g,3,Jeans
10:35,2,PAUSED,g,9,
10:35,3,PAUSED,b,6,
10:35,4,BROWSING,f,6,Pants
10:36,2,PAUSED,g,9,
10:36,3,MOVING,b,5,
10:36,4,BROWSING,f,6,Pants
10:37,1,MOVING,f,3,
10:37,2,PAUSED,g,9,
10:37,3,MOVING,b,4,
10:37,4,BROWSING,f,6,Pants
10:38,1,MOVING,e,3,
10:38,2,PAUSED,g,9,
10:38,3,ARRIVED_SECTION,b,3,Underwear
10:38,4,BROWSING,f,6,Pants
10:39,1,ARRIVED_SECTION,d,3,Stockings
10:39,2,MOVING,g,8,
10:39,3,BROWSING,b,3,Underwear
10:40,1,BROWSING,d,3,Stockings
10:40,2,MOVING,g,7,
10:40,3,BROWSING,b,3,Underwear
10:40,4,MOVING,c,6,
10:41,1,BROWSING,d,3,Stockings
10:41,2,MOVING,g,6,
10:41,3,BROWSING,b,3,Underwear
10:41,4,MOVING,a,7,
10:42,5,ENTERED,h,8,gender~male age~senior
10:42,1,BROWSING,d,3,Stockings
10:42,2,MOVING,g,5,
10:42,4,MOVING,a,10,
10:42,5,MOVING,g,8,
10:43,1,BROWSING,d,3,Stockings
10:43,2,MOVING,g,4,
10:43,3,ARRIVED_SECTION,c,3,Stockings
10:43,4,ARRIVED_FITTING_AREA,a,12,
10:43,5,MOVING,g,7,
10:44,1,BROWSING,d,3,Stockings
10:44,2,MOVING,f,4,
10:44,3,BROWSING,c,3,Stockings
10:44,4,ENTERED_FITTING,a,12,waited 0 ticks
10:44,5,MOVING,g,6,
10:45,1,BROWSING,d,3,Stockings
10:45,2,MOVING,e,4,
10:45,3,BROWSING,c,3,Stockings
10:45,5,MOVING,g,5,
10:46,1,BROWSING,d,3,Stockings
10:46,2,MOVING,d,4,
10:46,3,BROWSING,c,3,Stockings
10:46,5,MOVING,g,4,
10:47,1,BROWSING,d,3,Stockings
10:47,2,ARRIVED_SECTION,d,3,Stockings
10:47,3,BROWSING,c,3,Stockings
10:47,5,PAUSED,g,4,
10:48,6,ENTERED,h,8,gender~male age~young
10:48,1,BROWSING,d,3,Stockings
10:48,2,BROWSING,d,3,Stockings
10:48,3,BROWSING,c,3,Stockings
10:48,5,PAUSED,g,4,
10:48,6,MOVING,f,8,
10:49,1,BROWSING,d,3,Stockings
10:49,2,BROWSING,d,3,Stockings
10:49,3,BROWSING,c,3,Stockings
10:49,5,PAUSED,g,4,
10:49,6,MOVING,e,9,
10:50,1,BROWSING,d,3,Stockings
10:50,2,BROWSING,d,3,Stockings
10:50,3,BROWSING,c,3,Stockings
10:50,5,MOVING,f,4,
10:50,6,MOVING,e,11,
10:51,1,BROWSING,d,3,Stockings
10:51,2,BROWSING,d,3,Stockings
10:51,5,MOVING,e,4,
10:51,6,MOVING,e,13,
10:52,1,BROWSING,d,3,Stockings
10:52,2,BROWSING,d,3,Stockings
10:52,3,MOVING,b,3,
10:52,5,MOVING,d,4,
10:52,6,ARRIVED_SECTION,d,13,Hats & Handbags
10:53,1,BROWSING,d,3,Stockings
10:53,2,BROWSING,d,3,Stockings
10:53,3,MOVING,b,4,
10:53,5,ARRIVED_SECTION,d,3,Stockings
10:53,6,BROWSING,d,13,Hats & Handbags
10:54,2,BROWSING,d,3,Stockings
10:54,3,PAUSED,b,4,
10:54,5,BROWSING,d,3,Stockings
10:54,6,BROWSING,d,13,Hats & Handbags
10:55,1,MOVING,c,3,
10:55,2,BROWSING,d,3,Stockings
10:55,3,PAUSED,b,4,
10:55,5,BROWSING,d,3,Stockings
10:55,6,BROWSING,d,13,Hats & Handbags
10:56,1,MOVING,b,3,
10:56,2,BROWSING,d,3,Stockings
10:56,3,MOVING,b,5,
10:56,4,LEFT_FITTING,a,12,
10:56,6,BROWSING,d,13,Hats & Handbags
10:57,1,MOVING,b,4,
10:57,2,BROWSING,d,3,Stockings
10:57,3,MOVING,b,6,
10:57,4,MOVING,b,10,
10:57,5,ARRIVED_SECTION,d,4,Pants
10:58,1,MOVING,b,5,
10:58,2,BROWSING,d,3,Stockings
10:58,3,MOVING,b,7,
10:58,4,JOINED_QUEUE,b,8,position #1
10:58,5,BROWSING,d,4,Pants
10:58,6,MOVING,e,12,
10:59,4,REACHED_COUNTER,b,7,
10:59,1,MOVING,b,6,
10:59,2,BROWSING,d,3,Stockings
10:59,3,JOINED_QUEUE,b,8,position #2
10:59,4,AT_CHECKOUT,b,7,
10:59,5,BROWSING,d,4,Pants
10:59,6,MOVING,e,10,
11:00,1,MOVING,b,7,
11:00,2,BROWSING,d,3,Stockings
11:00,3,IN_QUEUE,b,8,position #2
11:00,4,AT_CHECKOUT,b,7,
11:00,5,BROWSING,d,4,Pants
11:00,6,MOVING,e,8,
11:01,7,ENTERED,h,8,gender~male age~adult
11:01,1,MOVING,b,8,
11:01,2,BROWSING,d,3,Stockings
11:01,3,IN_QUEUE,b,8,position #2
11:01,4,AT_CHECKOUT,b,7,
11:01,5,BROWSING,d,4,Pants
11:01,6,ARRIVED_SECTION,e,6,Pants
11:01,7,MOVING,g,8,
11:02,1,MOVING,b,9,
11:02,2,BROWSING,d,3,Stockings
11:02,3,IN_QUEUE,b,8,position #2
11:02,4,AT_CHECKOUT,b,7,
11:02,5,BROWSING,d,4,Pants
11:02,6,BROWSING,e,6,Pants
11:02,7,MOVING,g,9,
11:03,1,MOVING,b,10,
11:03,2,BROWSING,d,3,Stockings
11:03,3,IN_QUEUE,b,8,position #2
11:03,4,CHECKOUT_COMPLETED,b,7,
11:03,5,BROWSING,d,4,Pants
11:03,6,BROWSING,e,6,Pants
11:03,7,ARRIVED_SECTION,g,10,Tops
11:04,3,REACHED_COUNTER,b,7,
11:04,1,MOVING,b,11,
11:04,2,BROWSING,d,3,Stockings
11:04,3,AT_CHECKOUT,b,7,
11:04,4,MOVING,c,9,
11:04,5,BROWSING,d,4,Pants
11:04,6,BROWSING,e,6,Pants
11:04,7,BROWSING,g,10,Tops
11:05,8,ENTERED,h,8,gender~female age~young
11:05,1,MOVING,b,12,
11:05,2,BROWSING,d,3,Stockings
11:05,3,AT_CHECKOUT,b,7,
11:05,4,MOVING,f,9,
11:05,6,BROWSING,e,6,Pants
11:05,7,BROWSING,g,10,Tops
11:05,8,MOVING,f,7,
11:06,9,ENTERED,h,8,gender~female age~young
11:06,1,MOVING,b,13,
11:06,2,BROWSING,d,3,Stockings
